a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
sa	さ
shi	し
su	す
se	せ
so	そ
ta	た
chi	ち
tsu	つ
te	て
to	と
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
fu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
n	ん
wa	わ
wo	を
kya	きゃ
kyu	きゅ
kyo	きょ
sha	しゃ
shu	しゅ
sho	しょ
cha	ちゃ
chu	ちゅ
cho	ちょ
nya	にゃ
nyu	にゅ
nyo	にょ
hya	ひゃ
hyu	ひゅ
hyo	ひょ
mya	みゃ
myu	みゅ
myo	みょ
rya	りゃ
ryu	りゅ
ryo	りょ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gya	ぎゃ
gyu	ぎゅ
gyo	ぎょ
za	ざ
ji	じ
zu	ず
ze	ぜ
zo	ぞ
ji	じゃ
ju	じゅ
jo	じょ
da	だ
dzi	ぢ
dzu	づ
de	で
do	ど
dza	ぢゃ
dzu	ぢゅ
dzo	ぢょ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bya	びゃ
byu	びゅ
byo	びょ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pya	ぴゃ
pyu	ぴゅ
pyo	ぴょ
